Total Sentiment Score,Follower Count,Tweet
0.54006,288,"RT @BrodyAMiller: Michigan OC Josh Gattis in February:

“I think it’s one of the best hires that has happened this offseason. People are go…"
0,239,"RT @ChoiceMediatv: University of Michigan Students Campaign against Third Grade Reading Law

via @alex_harring #EdPolicy #Literacy

https:/…"
0.7580199999999999,261,RT @badboychadhoy: michigan? more like bitchigan that place fucking sucks
0.14406,1385,RT @TreyJoens: @Ann_marie1231 Excellent point Michigan. Excellent!!
-0.10807,628,"RT @historylvrsclub: Circled in this photo is Eagle Scout Gerald Ford in 1929, meeting then Michigan governor Fred Green (on the left.). Mo…"
-0.12749,2861,RT @Terrence_STR: Flint MIchigan: As former Mayor Weaver left office &amp; was replaced by Neely this was parked in front of City Hall.This is…
-0.29088,53,RT @nowthisnews: Michigan police were caught on camera violently arresting a man with a disability and laughing about it after https://t.co…
0.0,1950,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
0.9451799999999999,32,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
1.1813999999999998,270,"RT @jensenoffcampus: My Off Campus visit to Ann Arbor and Phil Martelli. “The first game, I was like self-conscious. What do I do with my h…"
0.9451799999999999,1452,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.10898000000000002,2194,"RT @MichiganFreedom: After failing to get her 45-cent gas tax hike, failing to fix the roads, and failing to fund Michigan’s priorities, @G…"
-0.10137,4929,Trump bringing Pence in for next week’s Michigan rally https://t.co/Z4BnW12rU7
0.0,597,"My top 10 after last night’s games:

1. Auburn
2. Michigan State
3. Kansas
4. Tennessee
5. Kentucky
6. Gonzaga
7. D… https://t.co/BJoS6n3cHN"
1.7457,2191,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.22033000000000003,799,RT @DrFishSG: It's a balmy 9 F on the Lake Michigan shoreline. Walk carefully on the ice covered rocks! https://t.co/hTJZHaYJ9i
0.0,9877,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
-0.67127,3387,Who the hell are these so-called Democrats in states like Michigan who are calling their reps in opposition to #Impeachment?!
0.9451799999999999,5458,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.0,3099,"RT @TweetsbyCoachP: Duncan Robinson played D3 prior to transferring to Michigan 

Duncan Robinson scored 34 tonight for the Miami Heat toni…"
0.9451799999999999,26,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
1.63711,2864,"RT @OTHeroics1: Michigan Wolverines: 4 Takeaways from a hot 8-1 start
@ZackeryRogers13 Breaks down the surprising start to #GoBlue Season.…"
